year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2
2009,2463.1039600000004,1,2,1,4,7,4
2009,6008.13994,1,1,1,4,3,1
2009,3403.66403,2,3,2,3,5,1
2009,4169.08318,2,1,2,1,5,1
2009,5830.4376,1,1,2,1,3,1
2009,3233.58537,1,1,2,1,7,2
2009,3615.755,1,1,2,1,7,4
2009,3243.7285699999998,2,1,2,1,6,4
2009,3992.76751,2,2,2,2,4,1
2009,3992.76751,2,2,2,2,4,1
2009,5281.9811,1,2,2,2,6,2
2009,5091.7676,2,3,1,4,1,1
2009,3207.02659,2,1,2,1,7,2
2009,3207.02659,2,1,2,1,7,2
2009,5461.77286,1,1,2,1,4,1
2009,3281.9476600000003,2,1,1,4,6,2
2009,3274.19516,1,1,2,1,7,3
2009,4210.04314,1,1,1,4,2,1
2009,4549.49811,1,1,2,1,1,1
2009,3433.22445,2,1,1,4,6,4
2009,3482.5514700000003,2,1,2,1,7,2
2009,5856.05271,1,2,2,2,1,1
2009,55049.1894,1,2,2,2,2,1
2009,5504.91894,1,2,2,2,2,1
2009,5504.91894,1,2,2,2,2,1
2009,3181.56536,2,1,2,1,7,3
2009,6591.60824,1,2,2,2,5,1
2009,5117.89034,1,2,2,2,2,1
2009,4136.64478,1,1,2,1,5,2
2009,3459.0007100000003,2,1,2,1,6,5
2009,3459.0007100000003,2,1,2,1,6,5
2009,3459.0007100000003,2,1,2,1,6,5
2009,3459.0007100000003,2,1,2,1,6,5
2009,3459.0007100000003,2,1,2,1,6,5
2009,3186.0214899999996,2,1,2,1,6,2
2009,4023.9408799999997,1,3,1,4,7,4
2009,3365.0499700000005,1,1,1,4,7,2
2009,4044.60239,1,1,2,1,2,1
2009,5143.68055,2,2,2,2,5,1
2009,5143.68055,2,2,2,2,5,1
2009,5143.68055,2,2,2,2,5,1
2009,3578.9809,1,1,1,4,6,4
2009,3285.89329,2,1,1,4,7,4
2009,3737.5336799999995,1,1,1,4,7,2
2009,3407.2750200000005,2,3,2,3,7,2
2009,20893.6326,1,3,2,3,7,2
2009,3356.32734,2,2,2,2,8,2
2009,3356.32734,2,2,2,2,8,2
2009,3356.32734,2,2,2,2,8,2
2009,3356.32734,2,2,2,2,8,2
2009,3356.32734,2,2,2,2,8,2
2009,5998.3676700000005,2,1,2,1,3,1
2009,6138.944039999999,1,1,2,1,1,1
2009,5286.30339,1,1,2,1,4,1
2009,2942.10633,2,1,2,1,8,2
2009,6624.31097,1,2,2,2,5,1
2009,3117.22533,2,1,2,1,7,4
2009,3327.1084,1,1,2,1,6,1
2009,3327.1084,1,1,2,1,6,1
2009,5299.70683,1,1,1,4,4,2
2009,3134.86975,1,1,1,4,7,1
2009,3787.4388200000003,2,1,1,4,7,4
2009,3454.32453,2,2,2,2,5,1
2009,4781.83403,1,2,2,2,6,4
2009,3391.82411,1,1,2,1,7,2
2009,2978.0057,1,1,2,1,8,2
2009,3362.5771600000003,1,1,2,1,5,1
2009,3786.28927,1,3,2,3,5,4
2009,2875.1971399999998,2,1,2,1,7,1
2009,2873.96677,1,1,2,1,5,2
2009,3959.2331,2,1,2,1,3,1
2009,5190.4169600000005,1,3,2,3,3,1
2009,5190.4169600000005,1,3,2,3,3,1
2009,5144.7204,1,2,2,2,6,2
2009,4874.654820000001,2,2,2,2,5,1
2009,4874.654820000001,2,2,2,2,5,1
