,year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2
0,2009,2463.103960000001,Male,Black,Hispanic,Other,50-64,Divorced
1,2009,6008.13994,Male,White,Hispanic,Other,18-20,Never married
2,2009,3403.66403,Female,Other,Non-Hispanic,Non-Hispanic,25-34,Never married
3,2009,4169.08318,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Never married
4,2009,5830.4376,Male,White,Non-Hispanic,Non-Hispanic White,18-20,Never married
5,2009,3233.58537,Male,White,Non-Hispanic,Non-Hispanic White,50-64,Married
6,2009,3615.755,Male,White,Non-Hispanic,Non-Hispanic White,50-64,Divorced
7,2009,3243.72857,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Divorced
8,2009,3992.76751,Female,Black,Non-Hispanic,Non-Hispanic Black,21-24,Never married
9,2009,3992.76751,Female,Black,Non-Hispanic,Non-Hispanic Black,21-24,Never married
10,2009,5281.9811,Male,Black,Non-Hispanic,Non-Hispanic Black,35-49,Married
11,2009,5091.7676,Female,Other,Hispanic,Other,12-14,Never married
12,2009,3207.02659,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Married
13,2009,3207.02659,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Married
14,2009,5461.77286,Male,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
15,2009,3281.9476600000007,Female,White,Hispanic,Other,35-49,Married
16,2009,3274.19516,Male,White,Non-Hispanic,Non-Hispanic White,50-64,Widowed
17,2009,4210.04314,Male,White,Hispanic,Other,15-17,Never married
18,2009,4549.49811,Male,White,Non-Hispanic,Non-Hispanic White,12-14,Never married
19,2009,3433.22445,Female,White,Hispanic,Other,35-49,Divorced
20,2009,3482.551470000001,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Married
21,2009,5856.05271,Male,Black,Non-Hispanic,Non-Hispanic Black,12-14,Never married
22,2009,55049.1894,Male,Black,Non-Hispanic,Non-Hispanic Black,15-17,Never married
23,2009,5504.91894,Male,Black,Non-Hispanic,Non-Hispanic Black,15-17,Never married
24,2009,5504.91894,Male,Black,Non-Hispanic,Non-Hispanic Black,15-17,Never married
25,2009,3181.56536,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Widowed
26,2009,6591.60824,Male,Black,Non-Hispanic,Non-Hispanic Black,25-34,Never married
27,2009,5117.89034,Male,Black,Non-Hispanic,Non-Hispanic Black,15-17,Never married
28,2009,4136.64478,Male,White,Non-Hispanic,Non-Hispanic White,25-34,Married
29,2009,3459.0007100000007,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Separated
30,2009,3459.0007100000007,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Separated
31,2009,3459.0007100000007,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Separated
32,2009,3459.0007100000007,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Separated
33,2009,3459.0007100000007,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Separated
34,2009,3186.02149,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Married
35,2009,4023.94088,Male,Other,Hispanic,Other,50-64,Divorced
36,2009,3365.0499700000005,Male,White,Hispanic,Other,50-64,Married
37,2009,4044.60239,Male,White,Non-Hispanic,Non-Hispanic White,15-17,Never married
38,2009,5143.68055,Female,Black,Non-Hispanic,Non-Hispanic Black,25-34,Never married
39,2009,5143.68055,Female,Black,Non-Hispanic,Non-Hispanic Black,25-34,Never married
40,2009,5143.68055,Female,Black,Non-Hispanic,Non-Hispanic Black,25-34,Never married
41,2009,3578.9809,Male,White,Hispanic,Other,35-49,Divorced
42,2009,3285.89329,Female,White,Hispanic,Other,50-64,Divorced
43,2009,3737.53368,Male,White,Hispanic,Other,50-64,Married
44,2009,3407.2750200000005,Female,Other,Non-Hispanic,Non-Hispanic,50-64,Married
45,2009,20893.6326,Male,Other,Non-Hispanic,Non-Hispanic,50-64,Married
46,2009,3356.32734,Female,Black,Non-Hispanic,Non-Hispanic Black,65+,Married
47,2009,3356.32734,Female,Black,Non-Hispanic,Non-Hispanic Black,65+,Married
48,2009,3356.32734,Female,Black,Non-Hispanic,Non-Hispanic Black,65+,Married
49,2009,3356.32734,Female,Black,Non-Hispanic,Non-Hispanic Black,65+,Married
50,2009,3356.32734,Female,Black,Non-Hispanic,Non-Hispanic Black,65+,Married
51,2009,5998.367670000001,Female,White,Non-Hispanic,Non-Hispanic White,18-20,Never married
52,2009,6138.9440399999985,Male,White,Non-Hispanic,Non-Hispanic White,12-14,Never married
53,2009,5286.30339,Male,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
54,2009,2942.10633,Female,White,Non-Hispanic,Non-Hispanic White,65+,Married
55,2009,6624.31097,Male,Black,Non-Hispanic,Non-Hispanic Black,25-34,Never married
56,2009,3117.22533,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Divorced
57,2009,3327.1084,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Never married
58,2009,3327.1084,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Never married
59,2009,5299.70683,Male,White,Hispanic,Other,21-24,Married
60,2009,3134.86975,Male,White,Hispanic,Other,50-64,Never married
61,2009,3787.43882,Female,White,Hispanic,Other,50-64,Divorced
62,2009,3454.32453,Female,Black,Non-Hispanic,Non-Hispanic Black,25-34,Never married
63,2009,4781.83403,Male,Black,Non-Hispanic,Non-Hispanic Black,35-49,Divorced
64,2009,3391.82411,Male,White,Non-Hispanic,Non-Hispanic White,50-64,Married
65,2009,2978.0057,Male,White,Non-Hispanic,Non-Hispanic White,65+,Married
66,2009,3362.5771600000007,Male,White,Non-Hispanic,Non-Hispanic White,25-34,Never married
67,2009,3786.28927,Male,Other,Non-Hispanic,Non-Hispanic,25-34,Divorced
68,2009,2875.19714,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Never married
69,2009,2873.96677,Male,White,Non-Hispanic,Non-Hispanic White,25-34,Married
70,2009,3959.2331,Female,White,Non-Hispanic,Non-Hispanic White,18-20,Never married
71,2009,5190.416960000001,Male,Other,Non-Hispanic,Non-Hispanic,18-20,Never married
72,2009,5190.416960000001,Male,Other,Non-Hispanic,Non-Hispanic,18-20,Never married
